lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.81366,11.18308,service,265,-13,1,14,3.1,–,0.7,0
60.86148,11.18709,track,293,5,8,19,3.8,–,2.9,0
60.77829,11.21062,service,182,3,11,40,3.0,–,2.2,0
60.7766,11.21449,secondary,248,8,17,37,4.0,elv,0.8,0
60.83139,11.24484,service,219,-4,5,15,2.7,–,0.2,0
60.77868,11.26257,track,209,-2,3,23,2.6,elv+vann,1.8,0
60.90244,11.25918,unclassified,243,-0,4,11,3.0,bekk,2.9,0
60.73058,11.28472,track,280,2,4,13,3.5,–,1.9,0
60.79947,11.27947,service,201,-3,2,9,2.4,elv+vann,1.3,0
60.8362,11.30467,track,152,5,20,60,4.5,elv,1.5,0
60.9295,11.29553,tertiary,166,6,8,16,2.4,–,0.6,0
60.79161,11.31754,service,186,-3,3,15,2.3,–,2.8,0
60.91232,11.32116,unclassified,452,3,18,32,6.3,bekk,0.6,0
60.79844,11.35758,track,329,-4,2,9,3.8,–,2.9,0
60.79042,11.36606,residential,140,0,3,9,1.7,–,0.5,0
60.79003,11.36831,residential,259,0,5,13,3.2,–,0.7,0
60.76759,11.37305,service,333,9,14,17,4.6,–,0.2,0
60.7764,11.37625,residential,217,-3,4,16,2.8,–,0.3,0
60.74532,11.38345,service,178,-14,0,16,2.2,–,2.3,0
60.77844,11.41188,unclassified,346,7,11,12,4.5,–,2.9,0
60.82754,11.4165,unclassified,448,8,21,25,6.4,bekk,2.8,0
60.85277,11.42544,unclassified,409,0,5,15,5.1,myr+vann,0.7,0
60.82865,11.43071,unclassified,311,5,8,14,4.0,–,2.9,0
60.91136,11.42149,unclassified,137,5,6,16,2.0,–,1.8,0
60.8904,11.4312,unclassified,186,6,8,19,2.7,bekk,1.9,0
60.81702,11.44325,unclassified,179,11,11,14,2.7,–,2.1,0
60.81542,11.45721,track,299,16,22,27,4.9,myr,0.3,0
60.90387,11.45477,track,256,5,9,18,3.4,bekk,0.7,0
60.74272,11.4779,track,155,5,6,13,2.1,–,0.4,0
60.84087,11.46802,track,401,12,15,21,5.4,myr,2.0,0
60.80642,11.47403,unclassified,411,7,19,30,5.9,–,0.1,0
60.9413,11.47021,track,244,14,16,24,3.7,–,0.4,0
60.75088,11.49465,residential,409,-33,9,46,6.6,bekk+myr,2.8,0
60.97039,11.47269,service,243,3,8,16,3.3,–,0.2,0
60.82915,11.49051,unclassified,248,-5,1,8,2.8,myr,1.5,0
60.77821,11.5016,track,427,-2,8,18,5.3,myr,2.2,0
60.77163,11.50783,track,258,3,11,22,3.7,–,0.6,0
60.93377,11.49099,track,208,-0,1,6,2.5,–,2.7,0
60.822,11.50603,track,391,-7,6,12,4.7,–,1.4,0
60.74379,11.51617,service,375,-29,2,24,4.7,–,2.7,0
60.86406,11.50639,service,563,12,24,18,7.8,–,2.9,0
60.74718,11.5215,tertiary,291,20,27,61,5.6,–,2.1,0
60.77699,11.52031,service,148,-2,4,18,1.9,bekk,1.4,0
60.79114,11.51894,tertiary,203,23,23,32,3.8,–,2.5,0
60.74692,11.52521,unclassified,285,14,17,26,4.3,bekk,1.3,0
60.73279,11.53134,unclassified,215,-3,14,57,4.2,bekk,2.3,0
60.95392,11.50964,service,263,-2,6,16,3.4,–,0.8,0
60.73977,11.53715,unclassified,262,5,11,28,3.7,bekk,1.6,0
60.76509,11.53628,track,300,-9,6,20,3.9,–,0.9,0
60.86011,11.5304,unclassified,247,28,32,62,5.9,–,0.6,3.2
60.73926,11.54567,unclassified,329,-15,7,20,4.4,–,2.5,0
60.82485,11.53607,track,269,-6,1,8,3.1,–,0.2,0
60.82353,11.5375,track,321,14,15,11,4.5,bekk,2.0,0
60.82483,11.53901,service,320,12,15,17,4.5,–,1.2,0
60.82297,11.5403,service,236,16,16,17,3.6,–,2.5,0
60.79961,11.5436,tertiary,340,17,18,13,4.9,–,2.2,0
60.9151,11.53402,primary,181,-3,2,15,2.2,–,0.8,0
60.80696,11.54645,unclassified,396,-6,7,14,4.8,–,1.7,0
60.76554,11.55387,service,395,-4,15,29,5.7,bekk,1.0,0
60.96314,11.53249,unclassified,232,16,19,24,3.8,bekk,1.5,0.2
60.86647,11.54355,service,157,-1,12,40,3.0,vann,1.1,0
60.94556,11.53678,service,218,1,6,12,2.8,–,0.7,0
60.76494,11.56184,track,430,-4,11,35,5.6,–,0.7,0
60.77843,11.56626,track,288,6,8,19,3.7,myr,2.9,0
60.93135,11.55055,unclassified,233,-16,1,16,2.8,–,2.9,0
60.78227,11.56863,track,171,3,6,22,2.3,–,0.3,0
60.93812,11.57308,track,188,-3,1,5,2.1,–,2.9,0
60.91659,11.57778,track,149,19,21,38,3.2,–,1.7,0
60.94485,11.57972,track,258,-3,3,10,3.1,bekk,1.7,0
60.94254,11.59811,service,209,-9,1,20,2.5,bekk,0.7,0
60.86713,11.61183,track,443,-6,2,12,5.1,–,1.8,0
60.76032,11.63139,track,430,34,42,43,7.9,–,0.3,0
60.73588,11.6424,unclassified,224,15,21,27,3.9,vann,2.9,0
60.74823,11.64717,service,402,15,35,67,8.4,myr,1.9,0
60.86289,11.63624,service,430,-6,17,24,6.3,–,1.1,0
60.78998,11.64556,track,277,3,9,19,3.7,bekk+myr,3.0,0
60.91597,11.63914,service,345,-0,4,9,4.2,–,2.4,0
60.77844,11.6587,service,203,20,20,19,3.5,–,0.8,0
60.83549,11.65496,service,301,-3,10,30,4.2,–,2.8,0
60.83899,11.6544,service,202,-3,3,32,2.6,–,2.0,0
60.85768,11.65799,track,396,-15,11,30,5.7,–,1.7,0
60.75869,11.69583,service,637,122,122,57,17.4,–,1.6,0
60.76059,11.69675,service,469,94,94,51,12.4,–,0.9,0
60.75598,11.69941,service,452,22,35,59,8.1,–,0.4,0
60.77536,11.72391,track,401,0,11,48,5.6,elv+vann,2.7,0
60.75652,11.72803,unclassified,276,-13,20,66,7.3,elv+vann,2.6,0
60.88591,11.71679,service,198,-5,4,23,2.5,–,2.0,0
