lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
61.23076,11.72394,service,494,56,56,22,8.8,–,2.8,0
61.16291,11.87514,service,475,-112,2,75,11.9,–,1.3,0
61.29349,11.86458,service,196,-15,5,38,3.2,–,0.8,0
61.18428,11.91789,service,569,25,37,37,8.8,bekk,0.3,0
61.33545,11.95967,service,186,10,12,23,2.8,–,1.9,0
61.17104,11.99618,secondary,203,15,15,39,3.4,myr,1.1,0
61.25391,11.99366,service,227,-11,0,12,2.5,–,0.9,0
61.30499,12,service,383,17,19,21,5.5,bekk+myr,0.5,0
61.33185,12.00452,residential,506,57,57,34,9.2,–,1.3,0
61.34996,12.03854,service,304,-19,0,13,3.4,bekk,1.9,6.1
61.16172,12.06662,service,613,43,51,26,10.0,–,0.7,4
61.29913,12.10254,service,242,39,39,44,5.6,bekk+myr,0.3,0
61.23194,12.15308,service,825,132,162,75,25.8,myr,1.5,0
61.22013,12.16459,service,614,77,79,34,12.0,bekk,0.8,0
61.17412,12.17246,unclassified,534,-1,9,18,6.7,bekk+myr,1.1,0
61.21813,12.17576,service,449,-12,21,33,7.3,bekk,0.3,0
61.1355,12.21567,service,411,-19,1,16,4.8,bekk,0.0,0
