lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.63434,11.68552,service,775,50,71,32,13.8,–,2.6,0
60.40178,11.71121,unclassified,418,34,36,28,7.0,–,1.0,0
60.76922,11.6786,service,870,88,141,145,42.7,–,1.9,0
60.40539,11.72249,unclassified,299,45,48,49,6.8,bekk,0.2,0
60.84101,11.67869,secondary,519,22,28,28,7.5,–,3.0,0
60.80985,11.68598,residential,590,0,2,8,7.0,–,0.9,0
60.75869,11.69583,service,637,122,122,57,17.4,–,1.6,0
60.76059,11.69675,service,469,94,94,51,12.4,–,0.9,0
60.75598,11.69941,service,452,22,35,59,8.1,–,0.4,0
60.41513,11.73551,unclassified,399,-12,7,26,5.2,myr+vann,2.5,0
60.87647,11.69509,track,171,-2,2,17,2.0,vann,1.0,0
60.91965,11.69284,unclassified,512,16,23,28,7.3,elv+vann+myr,2.0,0
60.48021,11.75063,service,337,16,30,38,6.2,bekk+myr,0.2,0
60.42958,11.75696,service,301,-0,8,15,3.9,bekk,1.6,0
60.7039,11.73026,track,225,-26,3,24,3.3,–,1.7,0
60.77536,11.72391,track,401,0,11,48,5.6,elv+vann,2.7,0
60.73442,11.7288,unclassified,164,-47,0,48,4.0,–,0.9,0
60.75652,11.72803,unclassified,276,-13,20,66,7.3,elv+vann,2.6,0
60.88591,11.71679,service,198,-5,4,23,2.5,–,2.0,0
60.88868,11.7167,service,488,-8,8,19,6.0,–,2.9,0
60.88086,11.72359,service,198,-4,4,23,2.6,–,2.7,0
60.6838,11.74917,service,216,41,42,58,5.8,–,2.8,0
60.72324,11.74536,service,193,6,6,7,2.6,–,2.8,0
60.8083,11.7369,service,281,41,46,60,7.1,–,0.2,2.7
60.83878,11.73379,unclassified,175,0,1,7,2.1,myr,0.7,0
60.77384,11.74206,service,169,2,3,8,2.1,bekk,3.0,0
60.78074,11.74137,service,206,-2,2,13,2.5,myr,2.7,0
60.85456,11.73549,service,357,-4,10,20,4.7,bekk+myr,0.5,0
60.7761,11.74989,service,432,0,4,8,5.2,–,2.9,0
60.85429,11.74325,track,261,-5,8,19,3.5,–,0.7,0
