område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
solor,60.56127,12.28199,0,8,9,12,9,14,13,-11,-27,-25
solor,60.56099,12.29023,0,8,5,12,8,14,14,-12,-25,-25
solor,60.55661,12.29115,0,8,8,11,12,13,12,-13,-24,-24
solor,60.59271,12.30401,0,8,7,11,14,12,11,-11,-21,-26
solor,60.61433,12.32469,0,8,8,4,13,11,11,-11,-16,-15
osen,61.23076,11.72394,0,7,8,3,12,10,24,-1,-9,-18
solor,60.80277,12.12363,0,7,7,11,14,13,20,-5,-25,-6
solor,60.53938,12.18334,0,7,8,22,4,9,8,-17,-24,-22
osen,61.30499,12,0,6,13,10,-4,25,20,-0,-19,-29
solor,60.47456,12.09322,0,6,9,28,6,11,20,-15,-27,-31
solor,60.46667,12.09885,0,6,9,23,2,8,21,-16,-26,-31
solor,60.46025,12.15491,0,6,3,23,1,11,18,-15,-24,-31
solor,60.45713,12.15591,0,6,5,23,3,11,19,-15,-24,-30
solor,60.51123,12.25993,0,6,6,29,7,20,11,-21,-16,-26
solor,60.46866,12.28663,0,6,8,18,3,20,15,-21,-25,-23
solor,60.50415,12.29135,0,6,2,26,5,22,12,-22,-23,-27
solor,60.54197,12.32301,0,6,7,16,6,15,7,-14,-29,-19
gml 1 Myklebysæterveien,61.3995,11.0316,0,6,19,15,5,5,27,7,-16,-30
gml A1-G13,61.44856,10.98472,0,6,22,11,9,1,26,5,-13,-23
elverum,60.84087,11.46802,0,5,3,10,23,25,27,-5,-32,-7
elverum,60.82353,11.5375,0,5,12,12,24,23,24,-3,-29,-4
elverum,60.82483,11.53901,0,5,12,12,23,23,24,-1,-29,-4
solor,60.73717,11.90104,0,5,15,22,-6,28,13,5,-15,-28
solor,60.72728,11.92034,0,5,18,15,0,24,10,6,-15,-24
solor,60.77395,12.0867,0,5,23,24,14,23,9,-10,-22,-28
solor,60.5455,12.13337,0,5,15,25,12,17,15,-9,-27,-22
solor,60.69195,12.12567,0,5,28,29,28,13,13,-7,-24,-24
solor,60.46141,12.16264,0,5,1,27,3,15,19,-15,-24,-30
solor,60.49612,12.16435,0,5,4,30,11,21,16,-15,-24,-30
solor,60.49005,12.2175,0,5,16,14,7,19,17,-15,-23,-29
solor,60.57951,12.27316,0,5,13,17,15,16,10,-11,-29,-28
solor,60.64844,12.26988,0,5,16,11,18,19,4,-14,-13,-19
solor,60.63783,12.28269,0,5,18,3,19,19,8,-11,-1,-20
osen,61.18428,11.91789,0,4,23,1,25,19,20,11,-37,-20
osen,61.22013,12.16459,0,4,27,21,5,27,20,7,-31,-30
elverum,60.81542,11.45721,0,4,8,16,23,24,23,-5,-30,-1
elverum,60.79961,11.5436,0,4,15,14,28,25,23,-3,-28,-3
solor,60.8083,11.7369,0,4,17,12,30,27,18,-6,-29,-3
solor,60.55727,11.77521,0,4,30,10,24,28,25,-0,-28,-20
solor,60.94645,11.84006,0,4,24,18,20,10,19,-7,-21,-13
solor,60.79972,11.9406,0,4,25,16,9,16,21,3,-28,-5
solor,60.80031,11.99862,0,4,22,19,25,17,13,3,-15,-31
solor,60.81774,12.12597,0,4,25,14,24,20,17,0,-11,-18
solor,60.96777,12.18526,0,4,25,14,24,23,18,8,-43,-29
solor,60.47394,12.22924,0,4,23,18,18,15,17,-16,-19,-29
solor,60.5524,12.24315,0,4,21,21,22,22,6,-11,-25,-23
solor,60.54822,12.2499,0,4,20,21,23,21,7,-12,-23,-22
osen,61.33185,12.00452,0,3,22,19,21,29,20,2,-13,-31
osen,61.16172,12.06662,0,3,24,29,22,24,20,9,-37,-31
solor,60.69779,11.77835,0,3,27,18,27,21,24,-4,-33,-23
solor,60.69757,11.77985,0,3,27,18,27,21,24,-4,-33,-23
solor,60.70008,11.78694,0,3,27,17,29,22,24,-5,-33,-25
solor,60.8208,11.8083,0,3,26,19,27,26,16,-1,-30,-11
solor,60.84731,11.84599,0,3,27,23,25,25,22,-1,-29,-10
solor,60.74177,12.23462,0,3,26,29,26,29,20,-21,-24,-30
solor,60.74144,12.24015,0,3,26,29,27,29,20,-21,-27,-30
solor,60.60357,12.13499,1,7,9,37,9,13,14,-8,-15,-27
solor,60.59678,12.15386,1,7,3,30,-2,11,15,-8,-15,-26
solor,60.71492,12.0992,1,6,14,31,-3,25,11,-3,-26,-30
elverum,60.86406,11.50639,1,5,7,3,30,30,23,-4,-33,-15
elverum,60.86011,11.5304,1,5,11,6,29,31,24,1,-30,-11
solor,60.71881,11.99416,1,5,32,20,24,13,6,3,-23,-25
solor,60.84643,11.99984,1,5,35,13,28,3,22,-2,-4,-29
solor,60.69198,12.03658,1,5,28,37,16,13,11,-1,-19,-22
solor,60.84999,12.02271,1,5,38,13,17,7,20,-2,-0,-24
solor,60.67722,12.0431,1,5,27,38,17,14,11,2,-18,-23
solor,60.68049,12.05287,1,5,26,37,15,16,10,4,-18,-21
solor,60.61936,12.13779,1,5,24,32,16,8,14,-5,-13,-28
solor,60.59197,12.18515,1,5,7,33,3,15,17,-11,-30,-22
solor,60.59208,12.18606,1,5,7,33,0,15,17,-11,-30,-22
solor,60.91635,12.26619,1,5,27,17,34,14,8,-6,-34,-20
solor,60.86382,12.28116,1,5,19,33,14,16,12,-7,-37,-18
osen,61.29913,12.10254,1,4,29,35,10,29,20,8,-31,-31
elverum,60.74692,11.52521,1,4,22,14,33,29,27,-5,-36,-18
solor,60.84101,11.67869,1,4,31,5,29,27,23,-4,-31,-13
solor,60.64621,11.77035,1,4,36,15,19,18,21,6,-27,-18
solor,60.7856,11.8017,1,4,21,13,32,29,19,-1,-17,-9
solor,60.71224,11.86861,1,4,36,26,16,20,13,-8,-34,-20
solor,60.73436,12.01856,1,4,35,17,28,18,14,-1,-20,-32
solor,60.93003,12.09608,1,4,34,9,23,25,20,6,-34,-20
solor,60.82181,12.18225,1,4,35,29,24,4,17,-11,-18,-15
gml 4 Madsskardveien øst,61.4518,11.1428,1,4,33,26,18,12,29,8,-6,-27
elverum,60.74718,11.5215,1,3,22,15,33,29,27,-7,-36,-18
elverum,60.76032,11.63139,1,3,19,18,31,29,25,-5,-29,-10
elverum,60.74823,11.64717,1,3,21,19,33,29,23,-2,-30,-9
elverum,60.75598,11.69941,1,3,25,16,33,27,25,-1,-30,-5
solor,60.75598,11.69941,1,3,25,16,33,27,25,-1,-30,-5
solor,60.6838,11.74917,1,3,30,18,22,18,24,0,-30,-15
solor,60.83773,11.78691,1,3,25,18,32,26,19,-2,-29,-5
solor,60.58221,11.84085,1,3,32,20,19,24,24,-3,-29,-27
solor,60.83433,11.8178,1,3,31,24,29,27,19,-1,-28,-8
solor,60.764,11.85694,1,3,33,21,27,23,19,2,-29,-12
solor,60.56661,11.88053,1,3,32,30,20,23,22,-3,-26,-29
solor,60.79102,11.88626,1,3,34,22,26,25,18,6,-23,-4
solor,60.75166,12.0287,1,3,36,18,28,22,16,-1,-9,-33
solor,60.61149,12.07746,1,3,19,36,20,24,16,-7,-20,-28
solor,60.7051,12.17325,1,3,36,20,26,23,20,-12,-24,-24
gml 2 Madsskardveien,61.4443,11.1234,1,3,34,27,17,17,26,12,-11,-29
solor,60.64707,11.99643,2,5,34,32,16,15,8,-9,-17,-26
solor,60.63585,12.00481,2,5,34,34,17,14,12,-7,-19,-24
solor,60.63644,12.01171,2,5,34,35,16,14,12,-5,-19,-24
elverum,60.84006,11.72685,2,4,24,9,30,30,23,-1,-26,-6
solor,60.48021,11.75063,2,4,39,12,35,29,27,-10,-26,-22
solor,60.47355,11.79498,2,3,43,19,37,29,27,-11,-26,-29
solor,60.86895,11.82286,2,3,33,32,30,26,21,-0,-21,-7
solor,60.6142,11.84886,2,3,32,37,19,22,22,-5,-26,-24
solor,60.86673,11.82382,2,3,33,32,29,25,21,-0,-21,-7
solor,60.62713,11.84832,2,3,34,35,19,19,19,-10,-27,-25
solor,60.61813,11.86311,2,3,35,38,20,23,20,-6,-26,-24
solor,60.62279,11.86595,2,3,37,38,20,22,19,-5,-27,-24
solor,60.80314,11.86743,2,3,35,24,30,27,16,2,-12,-5
solor,60.51568,11.95996,2,3,31,18,16,32,24,-9,-27,-30
gml S1 Messelt,61.4571,10.8362,2,3,31,32,18,25,26,-1,-18,-20
solor,60.45824,11.92313,3,3,43,32,31,30,26,-13,-24,-32
solor,60.41326,11.98333,3,3,44,39,35,21,28,-14,-16,-35
solor,60.41322,11.99334,3,3,46,42,35,29,28,-14,-16,-36
solor,60.40178,11.71121,4,3,41,18,38,39,31,-17,-5,-16
solor,60.40539,11.72249,4,3,41,15,38,38,31,-16,-5,-13
solor,60.41982,11.91313,4,3,41,36,37,31,28,-13,-24,-32
solor,60.42584,11.94454,4,3,44,34,35,32,28,-17,-24,-34
