område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
osen,61.23076,11.72394,0,6,2,11,10,19,22,1,-26,-18
solor,60.94645,11.84006,0,6,12,19,8,8,16,3,-22,-16
solor,60.80277,12.12363,0,6,10,10,13,18,17,-1,-28,-14
solor,60.53938,12.18334,0,6,26,10,10,28,15,-4,-15,-27
solor,60.91635,12.26619,0,6,9,13,14,21,17,10,-43,-17
solor,60.86382,12.28116,0,6,20,15,22,12,14,-18,-35,-8
solor,60.61433,12.32469,0,6,2,23,10,18,-3,-14,-23,-17
gml 1 Myklebysæterveien,61.3995,11.0316,0,6,15,14,8,14,21,12,-5,7
osen,61.18428,11.91789,0,5,8,14,19,20,18,1,-36,-19
elverum,60.82353,11.5375,0,5,12,14,22,22,24,3,-27,-3
elverum,60.82483,11.53901,0,5,12,14,21,22,24,5,-27,-2
solor,60.84101,11.67869,0,5,7,9,27,26,21,4,-27,-3
solor,60.8083,11.7369,0,5,14,10,26,23,20,-2,-29,-4
solor,60.55727,11.77521,0,5,9,10,28,25,25,-8,-18,-14
solor,60.7856,11.8017,0,5,15,13,29,23,20,-4,-28,-5
solor,60.79102,11.88626,0,5,14,10,25,22,19,3,-26,-2
solor,60.73717,11.90104,0,5,16,10,27,20,14,0,-18,-13
solor,60.72728,11.92034,0,5,16,10,20,21,12,11,-28,-12
solor,60.71881,11.99416,0,5,21,10,16,18,12,-0,-34,-14
solor,60.80031,11.99862,0,5,26,13,23,17,14,7,-20,-8
solor,60.84643,11.99984,0,5,11,16,4,22,18,6,-12,-5
solor,60.73436,12.01856,0,5,22,10,23,19,10,9,-33,-20
solor,60.75166,12.0287,0,5,22,15,21,22,10,9,-30,-18
solor,60.84999,12.02271,0,5,15,17,7,19,15,11,5,-4
solor,60.77395,12.0867,0,5,24,13,18,25,13,6,-23,-23
solor,60.81774,12.12597,0,5,16,15,20,8,15,5,-31,-18
solor,60.59678,12.15386,0,5,27,20,10,19,13,-4,-32,-20
solor,60.59208,12.18606,0,5,30,15,13,19,11,-8,-22,-26
solor,60.82181,12.18225,0,5,17,21,5,22,13,0,-32,-28
solor,60.96777,12.18526,0,5,27,12,21,21,13,8,-41,-6
solor,60.63783,12.28269,0,5,1,29,19,21,9,-6,-5,-22
solor,60.54197,12.32301,0,5,13,26,15,23,3,-7,-11,-21
osen,61.30499,12,0,4,27,13,27,25,17,0,-35,-15
elverum,60.84087,11.46802,0,4,10,18,25,25,25,-6,-21,-3
elverum,60.86011,11.5304,0,4,7,18,30,27,22,-3,-28,-2
solor,60.64621,11.77035,0,4,15,16,18,21,25,-1,-26,-19
solor,60.69779,11.77835,0,4,14,21,20,18,26,7,-34,-14
solor,60.69757,11.77985,0,4,14,21,20,18,26,7,-34,-14
solor,60.70008,11.78694,0,4,15,17,22,21,25,6,-34,-13
solor,60.83773,11.78691,0,4,23,15,26,23,18,2,-27,-3
solor,60.8208,11.8083,0,4,22,11,26,19,18,-1,-29,-2
solor,60.83433,11.8178,0,4,24,12,27,17,19,1,-27,-2
solor,60.86895,11.82286,0,4,22,6,25,21,21,2,-31,-4
solor,60.6142,11.84886,0,4,28,12,22,27,24,-6,-24,-16
solor,60.86673,11.82382,0,4,22,6,25,21,21,2,-28,-3
solor,60.61813,11.86311,0,4,21,15,23,27,23,-5,-26,-19
solor,60.62279,11.86595,0,4,21,12,23,25,23,-6,-26,-18
solor,60.84731,11.84599,0,4,23,6,25,17,20,1,-22,-1
solor,60.764,11.85694,0,4,20,10,22,19,17,2,-31,-4
solor,60.71224,11.86861,0,4,24,13,21,20,15,2,-27,-8
solor,60.80314,11.86743,0,4,20,10,27,17,19,-2,-31,-2
solor,60.79972,11.9406,0,4,20,13,16,24,19,6,-13,-2
solor,60.47456,12.09322,0,4,28,16,11,24,20,-11,-24,-24
solor,60.46667,12.09885,0,4,23,16,8,23,20,-13,-25,-24
solor,60.69195,12.12567,0,4,27,20,18,22,10,1,-34,-27
solor,60.46025,12.15491,0,4,27,25,15,24,18,-13,-28,-24
solor,60.45713,12.15591,0,4,27,26,14,24,18,-13,-27,-24
solor,60.59197,12.18515,0,4,30,15,15,19,11,-8,-22,-26
solor,60.47394,12.22924,0,4,16,22,14,28,16,-16,-28,-22
solor,60.5524,12.24315,0,4,21,19,23,23,13,-7,-23,-27
