område,lat,lon,beste_retning,avstand_m,stigning_m,gange_min,veitype,vann_krysset
solor,60.61433,12.32469,,,,,,
solor,60.53938,12.18334,116,454,11,9.1,service,nei
osen,61.23076,11.72394,,,,,,
solor,60.80277,12.12363,,,,,,
solor,60.72728,11.92034,,,,,,
solor,60.63783,12.28269,129,475,17,11.5,service,nei
solor,60.54197,12.32301,129,541,21,10.7,service,nei
solor,60.77395,12.0867,129,476,20,10.3,track,nei
solor,60.94645,11.84006,,,,,,
solor,60.80031,11.99862,,,,,,
solor,60.81774,12.12597,,,,,,
solor,60.69195,12.12567,156,590,28,11.8,unclassified,nei
solor,60.8083,11.7369,,,,,,
solor,60.55727,11.77521,156,617,19,11.8,service,nei
solor,60.96777,12.18526,151,394,16,7.9,service,nei
osen,61.30499,12,,,,,,
osen,61.18428,11.91789,,,,,,
solor,60.50415,12.29135,,,,,,
solor,60.79972,11.9406,,,,,,
solor,60.47394,12.22924,138,550,22,10.9,service,nei
solor,60.5524,12.24315,,,,,,
solor,60.54822,12.2499,,,,,,
elverum,60.82353,11.5375,128,420,23,8.5,unclassified,nei
elverum,60.82483,11.53901,130,390,30,8.8,service,nei
solor,60.47456,12.09322,,,,,,
solor,60.46667,12.09885,,,,,,
solor,60.46025,12.15491,,,,,,
solor,60.45713,12.15591,133,424,53,11.3,track,nei
solor,60.46866,12.28663,129,264,39,8.6,service,nei
elverum,60.84087,11.46802,,,,,,
solor,60.8208,11.8083,,,,,,
solor,60.84731,11.84599,,,,,,
solor,60.49612,12.16435,,,,,,
solor,60.49005,12.2175,,,,,,
solor,60.69779,11.77835,,,,,,
solor,60.69757,11.77985,,,,,,
solor,60.70008,11.78694,106,490,40,11.7,service,nei
elverum,60.81542,11.45721,,,,,,
elverum,60.79961,11.5436,130,366,15,7.2,tertiary,nei
