område,lat,lon,min_forenlige_av_8,sum_forenlige,morgensol_m
solor,60.61433,12.32469,6,26,0
solor,60.53938,12.18334,6,25,0
osen,61.23076,11.72394,5,24,0
solor,60.80277,12.12363,5,24,0.3
solor,60.72728,11.92034,5,22,0
solor,60.63783,12.28269,5,21,1.8
solor,60.54197,12.32301,5,21,0
solor,60.77395,12.0867,5,20,0
solor,60.94645,11.84006,4,21,0
solor,60.80031,11.99862,4,21,0
solor,60.81774,12.12597,4,20,0
solor,60.69195,12.12567,4,20,0
solor,60.8083,11.7369,4,19,2.7
solor,60.55727,11.77521,4,19,0
solor,60.96777,12.18526,4,19,0
osen,61.30499,12,4,19,0
osen,61.18428,11.91789,4,18,0
solor,60.50415,12.29135,4,18,3.7
solor,60.79972,11.9406,4,17,0
solor,60.47394,12.22924,4,17,0
solor,60.5524,12.24315,4,16,0
solor,60.54822,12.2499,4,16,0
elverum,60.82353,11.5375,3,18,0
elverum,60.82483,11.53901,3,18,0
solor,60.47456,12.09322,3,17,4.6
solor,60.46667,12.09885,3,17,0
solor,60.46025,12.15491,3,17,0
solor,60.45713,12.15591,3,17,0
solor,60.46866,12.28663,3,17,0
elverum,60.84087,11.46802,3,16,0
solor,60.8208,11.8083,3,16,0
solor,60.84731,11.84599,3,16,0
solor,60.49612,12.16435,3,15,0.9
solor,60.49005,12.2175,3,15,0
solor,60.69779,11.77835,3,14,0
solor,60.69757,11.77985,3,14,1.4
solor,60.70008,11.78694,3,14,0
elverum,60.81542,11.45721,3,14,0
elverum,60.79961,11.5436,3,13,0
