område,lat,lon,min_flatehoyde_m,gyldige_fjernprover
osen,61.23076,11.72394,0.0,366600
osen,61.18428,11.91789,0.0,366600
osen,61.30499,12,0.0,366600
osen,61.33185,12.00452,0.0,366600
osen,61.16172,12.06662,3.9,366600
osen,61.29913,12.10254,0.0,366600
osen,61.22013,12.16459,0.0,366600
elverum,60.81542,11.45721,0.0,366600
elverum,60.84087,11.46802,0.0,366600
elverum,60.86406,11.50639,0.0,366600
elverum,60.74718,11.5215,0.0,366600
elverum,60.74692,11.52521,0.0,366600
elverum,60.86011,11.5304,3.2,366600
elverum,60.82353,11.5375,0.0,366600
elverum,60.82483,11.53901,0.0,366600
elverum,60.79961,11.5436,0.0,366600
elverum,60.76032,11.63139,0.0,366600
elverum,60.74823,11.64717,0.0,366600
elverum,60.75598,11.69941,0.0,366600
elverum,60.84006,11.72685,0.0,366600
solor,60.40178,11.71121,0.0,366600
solor,60.40539,11.72249,0.0,366600
solor,60.84101,11.67869,0.0,366600
solor,60.75598,11.69941,0.0,366600
solor,60.48021,11.75063,0.0,366600
solor,60.6838,11.74917,0.0,366600
solor,60.8083,11.7369,2.7,366600
solor,60.55727,11.77521,0.0,366600
solor,60.64621,11.77035,0.0,366600
solor,60.47355,11.79498,0.0,366600
solor,60.69779,11.77835,0.0,366600
solor,60.69757,11.77985,1.4,366600
solor,60.70008,11.78694,0.0,366600
solor,60.83773,11.78691,0.0,366600
solor,60.7856,11.8017,0.0,366600
solor,60.8208,11.8083,0.0,366600
solor,60.58221,11.84085,0.0,366600
solor,60.83433,11.8178,0.0,366600
solor,60.86895,11.82286,0.0,366600
solor,60.6142,11.84886,0.0,366600
solor,60.86673,11.82382,0.0,366600
solor,60.62713,11.84832,8.3,366600
solor,60.61813,11.86311,0.0,366600
solor,60.62279,11.86595,0.0,366600
solor,60.84731,11.84599,0.0,366600
solor,60.764,11.85694,0.0,366600
solor,60.94645,11.84006,0.0,366600
solor,60.56661,11.88053,0.0,366600
solor,60.71224,11.86861,0.0,366600
solor,60.80314,11.86743,0.0,366600
solor,60.41982,11.91313,0.0,366600
solor,60.79102,11.88626,0.0,366600
solor,60.45824,11.92313,0.0,366600
solor,60.73717,11.90104,23.2,366600
solor,60.42584,11.94454,0.0,366600
solor,60.72728,11.92034,0.0,366600
solor,60.51568,11.95996,1.3,366600
solor,60.79972,11.9406,0.0,366600
solor,60.41326,11.98333,0.0,366600
solor,60.41322,11.99334,0.0,366600
solor,60.64707,11.99643,0.0,366600
solor,60.71881,11.99416,0.8,366600
solor,60.63585,12.00481,0.0,366600
solor,60.63644,12.01171,0.0,366600
solor,60.80031,11.99862,0.0,366600
solor,60.84643,11.99984,0.0,366600
solor,60.73436,12.01856,0.0,366600
solor,60.75166,12.0287,0.0,366600
solor,60.69198,12.03658,0.0,366600
solor,60.84999,12.02271,0.0,366600
solor,60.67722,12.0431,0.0,366600
solor,60.68049,12.05287,0.0,366600
solor,60.61149,12.07746,0.0,366600
solor,60.47456,12.09322,4.6,366600
solor,60.46667,12.09885,0.0,366600
solor,60.77395,12.0867,0.0,366600
solor,60.71492,12.0992,0.0,366600
solor,60.93003,12.09608,0.0,366600
solor,60.5455,12.13337,0.0,366600
solor,60.69195,12.12567,0.0,366600
solor,60.60357,12.13499,0.0,366600
solor,60.61936,12.13779,0.0,366600
solor,60.80277,12.12363,0.3,366600
solor,60.46025,12.15491,0.0,366600
solor,60.45713,12.15591,0.0,366600
solor,60.81774,12.12597,0.0,366600
solor,60.46141,12.16264,0.0,366600
solor,60.59678,12.15386,0.0,366600
solor,60.49612,12.16435,0.9,366600
solor,60.53938,12.18334,0.0,366600
solor,60.7051,12.17325,0.0,366600
solor,60.59197,12.18515,1.1,366600
solor,60.59208,12.18606,0.4,366600
solor,60.82181,12.18225,0.0,366600
solor,60.49005,12.2175,0.0,366600
solor,60.96777,12.18526,0.0,366600
solor,60.47394,12.22924,0.0,366600
solor,60.5524,12.24315,0.0,366600
solor,60.54822,12.2499,0.0,366600
solor,60.74177,12.23462,1.0,366600
solor,60.51123,12.25993,0.0,366600
solor,60.74144,12.24015,0.0,366600
solor,60.57951,12.27316,0.0,366600
solor,60.64844,12.26988,0.0,366600
solor,60.46866,12.28663,0.0,366600
solor,60.56127,12.28199,4.1,366600
solor,60.50415,12.29135,3.7,366600
solor,60.63783,12.28269,1.8,366600
solor,60.56099,12.29023,1.5,366600
solor,60.55661,12.29115,0.0,366600
solor,60.91635,12.26619,0.0,366600
solor,60.59271,12.30401,0.6,366600
solor,60.86382,12.28116,0.0,366600
solor,60.54197,12.32301,0.0,366600
solor,60.61433,12.32469,0.0,366600
engerdal,61.78589,11.9141,0.0,366600
engerdal,61.76689,11.93231,0.0,366600
engerdal,61.74803,11.95753,0.0,366600
engerdal,61.73449,11.96226,0.0,366600
