E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
292350,6756650,60.89046,11.17240,571,520,0.1,0.2,12.9,11.7,13.7
292450,6748050,60.81348,11.18345,204,292,0.0,0.3,14.0,17.9,16.6
292950,6753400,60.86166,11.18691,309,299,0.0,0.7,12.5,15.9,13.0
293700,6744050,60.77829,11.21062,158,182,0.7,2.7,11.1,15.2,17.0
293900,6743850,60.77660,11.21449,155,248,0.0,1.8,12.2,11.2,18.3
295400,6742650,60.76663,11.24324,153,178,0.0,0.6,12.3,14.6,15.3
295900,6749850,60.83139,11.24484,245,219,0.0,0.1,10.4,11.0,20.9
296100,6744050,60.77953,11.25459,152,230,0.0,0.6,14.6,10.2,19.4
296550,6743950,60.77886,11.26294,155,181,0.0,1.4,11.6,13.0,12.6
297150,6757700,60.90236,11.25955,484,236,0.1,2.8,10.9,14.1,16.9
297450,6738500,60.73049,11.28509,164,291,0.8,2.6,10.3,11.2,18.0
297500,6758400,60.90881,11.26525,497,451,2.3,0.4,10.0,10.0,15.5
297600,6746200,60.79956,11.27984,182,180,2.6,0.4,13.8,10.0,15.1
298200,6747300,60.80972,11.28970,207,213,0.0,0.3,12.7,12.9,13.4
299200,6750200,60.83620,11.30504,258,167,0.0,0.1,15.9,12.3,14.5
299250,6760600,60.92941,11.29516,525,189,0.4,1.7,10.4,10.7,12.2
299600,6740150,60.74636,11.32273,271,153,0.1,0.3,11.8,13.9,13.4
299600,6745200,60.79161,11.31754,207,186,0.1,2.3,14.7,11.3,16.1
300200,6742850,60.77085,11.33095,239,207,0.1,1.0,12.7,11.9,14.2
300550,6758600,60.91214,11.32116,453,459,0.6,2.5,10.3,11.6,13.3
301800,6745850,60.79853,11.35721,216,323,0.3,2.4,11.7,13.5,14.8
302250,6744900,60.79024,11.36643,207,168,0.4,2.9,11.3,12.1,13.6
302350,6744850,60.78985,11.36831,209,272,1.9,2.9,13.6,16.3,17.7
302450,6742350,60.76750,11.37268,261,323,1.2,1.3,14.1,14.0,13.0
302700,6743350,60.77658,11.37625,238,217,0.1,3.0,16.0,11.7,16.6
302900,6739850,60.74532,11.38345,303,178,0.1,0.3,13.0,12.8,14.8
303350,6741350,60.75898,11.39017,276,371,1.4,2.3,11.6,12.8,12.8
303700,6745350,60.79499,11.39255,230,166,1.2,1.6,13.5,12.0,13.6
303800,6744450,60.78698,11.39529,219,371,1.0,2.0,14.1,11.6,17.8
303850,6752400,60.85824,11.38818,280,161,0.1,2.8,10.3,13.9,13.9
304500,6750500,60.84153,11.40204,262,379,0.2,2.6,10.2,11.7,13.1
304650,6743450,60.77844,11.41188,233,346,2.7,1.9,16.5,14.2,16.7
305200,6748900,60.82754,11.41650,262,447,0.4,2.3,12.5,12.4,14.8
305850,6751700,60.85295,11.42562,268,401,2.0,2.1,14.3,14.3,14.5
306000,6749000,60.82883,11.43108,267,289,3.0,2.4,11.4,12.7,14.4
306000,6758200,60.91127,11.42186,367,151,0.4,0.8,10.5,15.2,14.0
306350,6757100,60.90158,11.42940,308,199,2.1,2.1,11.1,11.5,13.3
306400,6755850,60.89040,11.43157,284,184,0.2,2.7,10.1,11.1,12.2
306600,6747650,60.81702,11.44344,276,184,1.3,2.4,12.4,12.4,13.0
307200,6746850,60.81015,11.45524,289,317,1.7,2.0,13.1,11.7,12.6
307350,6747450,60.81560,11.45740,290,279,0.2,2.1,13.5,10.4,14.6
307750,6757300,60.90405,11.45496,284,245,1.8,1.1,10.1,12.1,14.1
308050,6739300,60.74290,11.47827,353,173,2.8,0.1,14.1,11.7,12.5
308100,6750250,60.84105,11.46839,332,380,0.7,2.0,10.7,14.4,15.2
308200,6746400,60.80660,11.47403,281,415,0.0,2.7,11.6,12.5,12.5
308500,6759250,60.92189,11.46682,315,197,2.2,2.2,13.7,12.4,13.5
308800,6761400,60.94130,11.47021,291,243,0.1,1.3,11.8,12.1,13.1
308850,6751750,60.85485,11.48068,311,256,2.8,2.5,10.6,13.6,12.5
309000,6740150,60.75097,11.49483,325,408,0.6,0.3,12.9,14.6,13.8
309100,6764650,60.97057,11.47251,224,234,1.4,1.6,13.6,15.9,12.4
309250,6741500,60.76319,11.49809,298,413,0.7,2.5,12.6,15.2,17.4
309250,6748850,60.82906,11.49088,355,251,2.7,1.5,10.6,12.0,12.1
309550,6743150,60.77812,11.50197,222,418,1.9,2.4,11.0,11.3,14.0
309800,6758550,60.91625,11.49144,224,376,0.2,1.5,15.4,16.7,15.5
309850,6742400,60.77154,11.50820,222,278,1.3,0.3,11.5,14.6,16.1
309900,6760500,60.93377,11.49136,229,202,0.1,2.6,12.4,13.4,13.1
310050,6748000,60.82182,11.50640,351,406,1.4,2.1,15.7,18.5,17.2
310100,6739300,60.74388,11.51580,281,365,2.1,2.3,13.1,14.6,16.1
310200,6752150,60.85908,11.50509,316,747,1.4,1.5,11.0,11.0,12.1
310300,6752700,60.86406,11.50639,280,563,0.1,0.2,10.3,12.9,12.3
310450,6739650,60.74718,11.52187,288,302,1.2,2.5,11.0,11.1,13.2
310550,6742950,60.77681,11.52049,223,160,0.2,0.8,15.0,15.1,14.8
310550,6744550,60.79114,11.51894,241,204,1.9,2.9,11.5,10.3,14.1
310650,6739600,60.74683,11.52558,276,268,0.7,1.7,14.6,13.8,13.3
310900,6738000,60.73261,11.53171,297,190,1.8,1.5,13.3,12.9,12.3
311000,6762700,60.95401,11.50946,211,253,0.2,2.2,11.9,10.6,15.3
311250,6738800,60.73995,11.53734,281,275,0.9,2.5,12.7,11.9,12.2
311350,6741600,60.76509,11.53646,243,292,0.1,1.1,10.5,15.8,13.3
311400,6745750,60.80230,11.53336,244,158,0.0,2.7,13.3,15.9,14.1
311600,6752200,60.86020,11.53076,287,225,1.4,2.9,11.3,11.5,14.4
311700,6738700,60.73926,11.54567,331,329,0.1,2.3,13.6,10.9,14.2
311700,6748250,60.82485,11.53644,325,284,0.7,2.4,11.9,12.2,15.2
311750,6748100,60.82353,11.53750,316,321,0.1,2.5,10.0,12.0,13.3
311850,6748250,60.82492,11.53919,325,308,0.2,2.5,11.4,14.1,12.9
311900,6748050,60.82315,11.54030,311,242,0.1,0.8,12.5,12.3,12.6
311950,6745400,60.79943,11.54379,224,318,1.7,1.1,12.6,16.8,20.4
312100,6758300,60.91510,11.53402,194,181,0.1,1.2,13.4,13.2,12.1
312150,6746250,60.80714,11.54663,241,407,0.0,2.8,11.3,13.8,15.2
312300,6741600,60.76554,11.55387,245,394,0.0,2.9,11.7,15.8,17.9
312300,6763650,60.96314,11.53249,313,232,0.8,1.2,13.1,12.0,14.4
312350,6752850,60.86638,11.54392,177,177,1.2,1.9,18.5,12.7,12.9
312450,6761700,60.94574,11.53715,263,201,1.2,2.0,10.2,10.7,16.9
312750,6741500,60.76485,11.56221,252,422,0.0,0.1,12.0,18.5,16.8
313050,6743000,60.77843,11.56626,228,288,0.5,2.0,13.8,16.4,16.0
313100,6760050,60.93126,11.55073,250,227,2.1,2.6,10.3,14.6,12.6
