E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
324150,6792900,61.23076,11.72394,568,494,2.5,1.0,10.1,12.9,12.8
326550,6801550,61.30937,11.76059,478,263,0.4,2.6,11.4,10.6,12.2
331500,6797950,61.27927,11.85610,575,309,1.7,2.5,14.0,14.3,12.0
331900,6784950,61.16291,11.87514,603,476,0.3,0.8,12.1,14.8,16.0
332050,6799500,61.29340,11.86496,509,176,0.7,2.8,12.7,11.1,12.2
334300,6787200,61.18410,11.91771,513,547,1.0,1.3,10.6,10.3,14.4
337350,6803950,61.33554,11.95986,572,199,1.7,2.9,10.3,10.9,13.2
337550,6804250,61.33831,11.96333,587,288,0.8,2.3,11.0,15.6,12.9
338200,6795200,61.25745,11.98327,541,442,2.6,2.0,13.2,16.0,13.5
338450,6785550,61.17104,11.99618,583,203,2.7,1.8,18.3,12.7,16.2
338750,6794800,61.25409,11.99385,529,246,1.9,2.8,11.7,17.1,17.1
339350,6800450,61.30499,12.00018,568,393,1.9,3.0,11.2,12.3,12.6
339700,6803450,61.33203,12.00414,687,503,2.2,0.2,12.3,10.8,15.0
341650,6805350,61.34987,12.03892,686,295,1.7,2.2,11.1,10.9,15.8
342200,6784350,61.16181,12.06680,657,617,0.1,0.7,14.7,14.7,14.5
343450,6803250,61.33177,12.07428,756,201,2.8,1.8,10.3,14.2,12.1
344800,6799550,61.29913,12.10254,736,242,2.8,2.5,12.3,10.3,15.1
347200,6791950,61.23194,12.15346,670,812,0.3,2.2,13.7,10.2,12.5
347750,6790600,61.22004,12.16478,658,600,1.0,2.1,10.4,11.8,12.8
347950,6785450,61.17394,12.17264,473,525,0.1,2.2,10.5,15.4,12.0
348050,6794000,61.25065,12.16762,645,494,0.1,2.4,11.5,11.1,13.5
348350,6789900,61.21400,12.17650,558,381,1.4,2.7,11.3,13.0,14.5
348350,6790350,61.21804,12.17614,564,457,2.0,2.9,12.2,14.7,13.8
350100,6781050,61.13532,12.21605,576,394,1.8,1.4,12.5,11.3,14.5
351550,6789750,61.21388,12.23611,475,347,0.3,2.9,11.0,14.9,13.3
353950,6798300,61.29146,12.27410,359,343,0.0,2.9,11.5,12.0,13.3
