E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
318400,6702400,60.41700,11.70170,300,487,0.2,1.8,14.0,12.9,13.4
318700,6737600,60.73265,11.67485,375,423,0.0,1.1,11.8,12.7,16.2
318750,6726650,60.63452,11.68588,474,752,1.8,2.8,13.2,11.8,14.9
318850,6700700,60.40196,11.71140,272,397,0.1,0.2,11.2,12.3,15.1
319100,6741650,60.76913,11.67842,299,883,2.4,2.9,11.4,13.4,12.4
319500,6701050,60.40539,11.72286,283,315,0.7,1.7,19.5,16.3,17.9
319500,6749650,60.84101,11.67832,233,535,0.0,2.0,13.6,15.1,16.5
319750,6746150,60.80976,11.68616,182,577,0.0,0.7,13.8,14.0,13.0
320000,6740450,60.75878,11.69602,328,623,1.9,1.6,12.7,13.2,13.5
320050,6740650,60.76059,11.69675,315,469,1.0,1.1,12.7,19.5,13.4
320150,6740150,60.75616,11.69904,240,467,2.3,2.3,10.2,16.5,18.0
320250,6702100,60.41513,11.73551,315,398,0.0,0.2,10.3,11.1,13.0
320600,6753550,60.87647,11.69491,200,180,0.6,2.7,12.2,10.5,15.2
320750,6758350,60.91956,11.69321,271,493,0.0,1.6,15.2,11.8,16.3
320950,6737050,60.72873,11.71654,409,285,1.9,2.5,11.1,12.1,13.9
321050,6712150,60.50558,11.74098,412,155,0.5,2.7,10.7,10.7,13.1
321450,6709300,60.48021,11.75081,431,331,0.6,2.6,10.5,11.2,13.1
321500,6703650,60.42958,11.75678,339,304,0.6,1.9,15.9,13.9,16.2
321500,6738300,60.74018,11.72546,224,204,0.1,1.3,10.8,14.5,13.6
321500,6746500,60.81368,11.71795,183,203,1.6,2.4,21.0,12.8,18.7
321500,6762600,60.95799,11.70308,306,189,0.7,2.9,11.0,11.1,14.0
321550,6734250,60.70390,11.73007,297,216,0.2,0.8,14.1,12.5,21.1
321600,6742200,60.77518,11.72373,174,382,0.4,2.7,11.1,12.0,15.2
321650,6737650,60.73442,11.72880,238,165,0.5,1.3,11.0,10.5,14.7
321750,6740100,60.75643,11.72840,182,268,0.1,0.4,13.6,14.2,17.7
321850,6754550,60.88600,11.71697,229,201,0.1,2.1,13.8,13.0,14.0
321850,6754850,60.88868,11.71670,227,488,2.8,2.9,10.2,17.0,12.0
322100,6715200,60.53338,11.75733,480,357,0.7,0.4,11.1,10.1,12.1
322200,6753950,60.88077,11.72396,233,196,2.9,0.0,11.3,13.1,14.8
322250,6730250,60.66836,11.74650,339,331,2.0,1.9,13.2,13.3,17.0
322300,6738350,60.74099,11.74007,178,195,2.6,2.4,14.3,12.2,13.5
322400,6718250,60.56086,11.76006,413,224,2.6,2.7,11.2,11.2,12.9
322500,6731950,60.68371,11.74953,254,208,0.1,2.0,10.6,14.0,14.6
322500,6736350,60.72315,11.74554,199,186,0.0,1.1,14.2,18.8,20.4
322500,6745850,60.80830,11.73690,256,282,2.3,2.1,12.3,10.7,15.7
322500,6749250,60.83878,11.73379,260,175,2.6,0.8,11.8,12.0,14.0
322550,6728850,60.65594,11.75325,364,382,1.2,2.3,12.7,13.4,15.2
322600,6742000,60.77384,11.74224,180,178,0.0,2.5,12.0,10.4,15.0
322600,6742750,60.78056,11.74156,179,220,0.5,0.5,11.2,10.3,13.5
322700,6709150,60.47941,11.77365,467,355,0.4,1.1,11.4,12.1,12.2
322700,6751000,60.85456,11.73586,252,342,1.4,1.6,13.6,13.3,13.4
323050,6742250,60.77628,11.75026,179,451,0.2,0.1,13.6,13.0,13.2
323100,6730850,60.67411,11.76149,217,244,0.1,1.1,10.7,13.5,15.0
323100,6750950,60.85429,11.74325,257,261,1.3,2.0,19.1,12.1,17.7
323150,6729500,60.66203,11.76362,331,431,2.5,2.9,10.2,11.4,12.8
323200,6717800,60.55718,11.77503,397,288,2.5,1.3,10.7,11.7,12.4
323400,6736450,60.72444,11.76192,177,177,2.5,1.4,13.4,12.6,13.4
323450,6727700,60.64603,11.77072,308,308,0.2,1.4,14.1,19.0,12.2
323600,6742150,60.77563,11.76043,197,226,0.8,0.7,14.4,10.3,17.6
323650,6707850,60.46818,11.79206,426,225,2.6,1.7,11.3,14.7,17.8
323700,6759750,60.93343,11.74625,350,356,0.9,0.3,13.1,11.5,12.7
323800,6753350,60.87611,11.75393,288,353,0.1,1.0,13.5,12.8,17.8
323850,6708450,60.47364,11.79516,442,349,0.9,2.1,10.8,10.8,12.3
323950,6753150,60.87438,11.75687,293,289,0.0,0.7,11.8,12.5,13.9
323950,6758150,60.91920,11.75231,306,243,0.0,0.3,12.8,13.8,13.7
324000,6740750,60.76325,11.76903,206,206,1.8,1.7,14.9,13.1,14.6
324050,6700950,60.40650,11.80540,439,690,1.5,1.6,14.5,10.3,13.5
324150,6733450,60.69788,11.77835,243,397,0.2,2.6,13.1,14.0,13.8
324150,6756850,60.90764,11.75718,293,573,0.0,0.1,10.7,16.0,16.7
324250,6733400,60.69748,11.78022,235,460,0.8,2.9,13.8,12.1,15.0
324250,6739250,60.74992,11.77496,202,232,0.7,0.3,13.0,14.4,13.6
324400,6725550,60.62718,11.78998,310,245,0.9,2.8,12.8,12.5,13.3
324450,6728350,60.65230,11.78839,249,454,1.0,0.1,18.0,11.5,15.4
324450,6745100,60.80245,11.77335,255,379,0.7,1.3,10.7,11.0,12.6
324500,6718450,60.56357,11.79812,350,466,2.9,1.3,10.2,11.3,12.3
324500,6739650,60.75361,11.77918,213,151,1.5,2.3,12.9,12.6,15.2
324500,6749650,60.84325,11.77016,286,154,1.4,0.9,12.4,10.5,13.6
324550,6764350,60.97504,11.75771,387,393,1.1,0.5,11.6,11.3,14.8
324600,6741800,60.77293,11.77908,232,264,0.1,0.2,14.1,11.9,14.2
324650,6733650,60.69990,11.78731,238,373,0.6,0.5,11.1,10.1,15.7
325000,6747100,60.82062,11.78164,306,250,0.4,2.4,10.6,12.0,13.2
325050,6752550,60.86949,11.77764,377,190,2.0,2.4,10.5,16.2,14.6
325150,6718450,60.56386,11.80996,318,239,1.8,2.1,10.6,11.1,12.8
325400,6734050,60.70381,11.80067,156,200,0.0,1.7,15.1,15.7,20.1
325400,6749000,60.83782,11.78728,306,297,0.1,0.5,10.7,15.5,13.0
325450,6725600,60.62808,11.80910,284,193,0.3,2.9,11.6,14.7,14.5
325550,6716700,60.54834,11.81878,310,377,1.1,1.0,10.1,14.4,13.6
325800,6745100,60.80304,11.79812,411,184,1.7,2.0,10.3,10.4,14.2
325900,6743150,60.78560,11.80170,285,277,0.7,2.4,13.7,10.1,12.1
326000,6748250,60.83136,11.79897,358,178,1.4,2.5,10.7,11.2,14.7
326150,6767050,60.99995,11.78478,354,224,2.8,1.7,15.4,13.5,15.8
326300,6714850,60.53208,11.83406,411,247,0.2,1.2,10.0,11.1,16.0
326450,6722550,60.60117,11.83003,284,460,0.4,2.9,10.2,17.4,15.9
326450,6726700,60.63838,11.82637,174,228,0.4,2.9,10.3,10.5,14.4
326450,6747050,60.82080,11.80830,453,359,0.1,0.1,15.7,13.6,13.7
326500,6742400,60.77914,11.81337,270,295,0.7,1.6,15.1,19.6,17.0
326550,6754750,60.88987,11.80325,328,202,2.8,2.7,12.9,13.7,12.4
326700,6739050,60.74920,11.82002,213,192,0.1,0.2,13.8,15.4,14.6
326800,6763500,60.96842,11.79998,375,288,0.1,1.1,11.5,12.2,14.5
326950,6720400,60.58212,11.84103,370,286,1.2,2.2,11.1,12.4,12.8
327000,6728450,60.65430,11.83487,159,171,0.0,0.2,10.1,17.8,12.6
327050,6748550,60.83451,11.81798,390,282,1.5,3.0,15.8,14.0,14.4
327100,6758850,60.92686,11.80969,327,214,0.0,0.5,15.0,10.4,12.4
327150,6723350,60.60865,11.84209,316,186,0.8,2.9,17.0,14.9,14.7
327200,6758250,60.92153,11.81207,313,318,2.9,1.6,12.9,13.5,16.2
327250,6717200,60.55356,11.84929,354,371,1.8,2.0,15.9,13.8,12.5
327300,6741700,60.77321,11.82866,249,364,0.3,0.7,11.4,14.3,16.2
327350,6743500,60.78937,11.82798,419,360,2.2,2.9,13.5,21.1,15.7
327450,6706050,60.45368,11.86262,433,688,2.1,2.8,10.2,13.7,12.2
327450,6725100,60.62447,11.84603,318,288,2.2,2.0,11.5,10.1,14.1
327500,6752350,60.86877,11.82286,422,532,1.8,2.5,14.8,10.4,12.0
327550,6723950,60.61420,11.84886,330,636,0.1,0.5,10.8,10.8,13.6
327550,6734150,60.70564,11.83991,189,170,2.9,1.7,11.9,11.9,16.6
327550,6752100,60.86655,11.82401,410,571,1.3,0.8,12.0,11.1,12.1
327550,6763650,60.97009,11.81368,389,183,1.7,2.7,15.9,11.7,13.9
327600,6725400,60.62722,11.84850,300,521,0.6,1.3,12.3,11.8,12.1
327750,6714350,60.52822,11.86087,316,171,0.2,2.9,14.0,13.2,15.6
327750,6732650,60.69228,11.84488,184,267,2.4,2.5,12.3,12.8,14.2
327950,6740200,60.76005,11.84190,234,229,0.2,1.2,13.2,11.9,15.6
328000,6726650,60.63860,11.85471,150,317,1.8,1.1,18.2,20.3,18.2
328100,6715700,60.54047,11.86607,264,256,1.3,2.4,11.2,13.0,18.4
328100,6727150,60.64312,11.85610,168,163,1.1,2.9,11.8,13.7,19.0
328150,6739950,60.75789,11.84578,243,305,0.7,2.2,14.2,11.1,18.1
328250,6703300,60.42937,11.87951,358,240,2.4,2.4,10.4,12.2,13.9
328300,6753650,60.88077,11.83642,367,290,0.1,0.1,11.8,15.2,16.0
328350,6721050,60.58854,11.86598,242,291,0.9,1.6,14.5,11.2,12.9
328350,6724350,60.61813,11.86311,308,380,0.7,0.9,10.8,12.1,15.3
328450,6753650,60.88084,11.83918,383,182,0.1,0.8,13.1,15.7,21.2
328500,6740900,60.76656,11.85136,261,166,1.5,2.6,19.7,16.2,12.9
328550,6724850,60.62270,11.86632,277,339,1.5,1.4,10.7,11.3,16.3
328550,6746350,60.81544,11.84747,334,169,0.5,2.2,10.5,15.0,13.9
