sted,moh,21.09 17.27 sol°/hz°,25.09 17.05 sol°/hz°,status
osen 61.23076, 11.72394,568,12.2/-0.9,13.0/-0.2,OK
osen 61.18428, 11.91789,514,12.1/2.6,13.0/2.9,OK
osen 61.30499, 12,567,12.0/0.8,12.9/1.4,OK
osen 61.33185, 12.00452,686,12.0/-0.5,12.9/-0.4,OK
osen 61.16172, 12.06662,656,12.1/0.1,12.9/0.2,OK
osen 61.29913, 12.10254,737,12.0/0.3,12.9/0.0,OK
osen 61.22013, 12.16459,660,12.0/9.6,12.9/9.2,OK
elverum 60.81542, 11.45721,290,12.5/-0.3,13.3/-0.3,OK
elverum 60.84087, 11.46802,333,12.4/0.8,13.3/0.9,OK
elverum 60.86406, 11.50639,280,12.4/2.6,13.3/3.1,OK
elverum 60.74718, 11.5215,293,12.5/3.2,13.4/3.3,OK
elverum 60.74692, 11.52521,277,12.5/3.5,13.3/3.3,OK
elverum 60.86011, 11.5304,285,12.4/2.0,13.3/2.2,OK
elverum 60.82353, 11.5375,316,12.4/2.4,13.3/2.3,OK
elverum 60.82483, 11.53901,327,12.4/0.8,13.3/0.7,OK
elverum 60.79961, 11.5436,226,12.4/1.4,13.3/1.1,OK
elverum 60.76032, 11.63139,444,12.4/0.5,13.3/0.3,OK
elverum 60.74823, 11.64717,394,12.4/1.2,13.3/1.2,OK
elverum 60.75598, 11.69941,235,12.4/11.2,13.3/12.4,OK
elverum 60.84006, 11.72685,263,12.3/0.1,13.2/0.3,OK
gml 1 Myklebysæterveien,594,12.4/4.0,13.3/3.7,OK
gml 2 Madsskardveien,598,12.4/6.0,13.2/6.5,OK
gml S1 Messelt,898,12.5/7.0,13.3/7.0,OK
gml 4 Madsskardveien øst,646,12.4/5.3,13.2/6.1,OK
