lat,lon,25.09 16.50,25.09 17.00,21.09 08.30,21.09 16.30,21.09 17.00,23.09 17.40,konflikter,forenlige
58.900,6.100,67,62,0,26,9,50,3,2
58.900,6.197,47,53,0,1,23,45,3,2
58.900,6.294,23,40,0,5,30,36,3,2
58.900,6.390,18,22,11,4,16,33,1,2
58.900,6.487,18,24,12,0,0,43,1,3
58.900,6.584,18,23,17,0,0,32,1,2
58.900,6.681,24,16,16,0,0,40,1,2
58.900,6.778,22,38,7,0,0,37,2,3
58.900,6.874,45,41,7,0,1,30,3,3
58.900,6.971,34,22,6,0,0,40,2,3
58.900,7.068,60,16,0,0,0,46,2,3
58.900,7.165,54,17,0,0,0,46,2,3
58.900,7.262,59,28,0,0,0,43,2,3
58.900,7.358,59,59,0,0,0,41,3,3
58.900,7.455,57,68,0,0,0,40,3,3
58.900,7.552,61,64,0,0,0,40,3,3
58.900,7.649,55,43,0,0,0,37,3,3
58.900,7.746,67,48,0,0,0,44,3,3
58.900,7.842,58,41,0,0,0,44,3,3
58.900,7.939,57,54,0,0,0,46,3,3
58.900,8.036,53,54,0,0,0,48,3,3
58.900,8.133,50,53,0,0,0,42,3,3
58.900,8.230,30,43,0,0,0,43,3,3
58.900,8.326,21,40,0,0,0,48,2,3
58.900,8.423,25,25,0,0,0,43,1,3
58.900,8.520,17,17,0,0,0,43,1,3
58.900,8.617,37,12,0,0,0,40,2,4
58.900,8.714,29,13,0,0,0,40,1,4
58.900,8.810,23,29,0,0,0,41,1,3
58.900,8.907,24,26,0,0,0,42,1,3
58.900,9.004,29,21,0,0,0,39,1,3
58.900,9.101,29,18,0,0,0,43,1,3
58.900,9.198,31,22,0,0,0,44,2,3
58.900,9.294,29,26,0,0,0,45,1,3
58.900,9.391,31,29,0,0,0,41,2,3
58.900,9.488,24,31,0,0,0,40,2,3
58.900,9.585,12,27,0,0,0,40,1,4
58.900,9.682,19,27,0,0,0,41,1,3
58.900,9.778,18,16,0,0,0,37,1,3
58.900,9.875,24,23,0,0,0,35,1,3
58.900,9.972,30,19,0,0,0,37,1,3
58.900,10.069,33,25,0,0,0,37,2,3
58.900,10.166,37,27,0,0,0,36,2,3
58.900,10.262,27,32,0,0,0,39,2,3
58.900,10.359,25,31,0,0,0,41,2,3
58.900,10.456,9,25,0,0,0,42,1,4
58.900,10.553,14,21,0,0,0,41,1,4
58.900,10.650,2,7,0,0,0,40,1,5
58.900,10.746,0,6,0,0,0,34,1,5
58.900,10.843,0,0,0,0,0,34,1,5
58.900,10.940,0,0,0,0,0,34,1,5
58.900,11.037,5,0,0,0,0,36,1,5
58.900,11.134,27,3,0,0,0,35,1,4
58.900,11.230,29,14,0,0,0,32,1,4
58.900,11.327,19,22,0,8,0,28,0,3
58.900,11.424,13,21,0,0,0,26,0,4
58.900,11.521,9,22,0,0,0,26,0,4
58.900,11.618,0,20,0,0,0,27,0,4
58.900,11.714,0,4,0,0,0,25,0,5
58.900,11.811,0,0,0,0,0,28,0,5
58.900,11.908,0,0,0,0,6,26,0,5
58.900,12.005,0,0,0,0,4,25,0,5
58.900,12.102,0,0,0,0,2,31,1,5
58.900,12.198,0,0,0,0,0,30,0,5
58.900,12.295,2,0,0,0,0,29,0,5
58.900,12.392,2,0,0,0,0,28,0,5
58.900,12.489,1,0,0,0,0,32,1,5
58.900,12.586,1,1,0,0,0,29,0,5
58.900,12.682,1,1,0,0,0,31,1,5
58.900,12.779,0,0,0,0,0,29,0,5
58.900,12.876,3,1,0,0,0,30,1,5
58.900,12.973,3,0,0,0,0,33,1,5
58.900,13.070,5,2,0,0,0,23,0,5
58.950,6.100,59,52,0,0,24,50,3,2
58.950,6.197,46,50,0,0,26,41,3,2
58.950,6.294,23,39,0,0,18,31,2,2
