C06 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
C07 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 15 m)
C23 M_61.455_10.840    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G01 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G02 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 10 m)
G03 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:  54.0 m (ved 238°, 40 m)
G04 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G05 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:  20.8 m (ved 248°, 115 m)
G06 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G07 M_61.455_10.840    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G08 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 240°, 115 m)
G09 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:  16.5 m (ved 242°, 65 m)
G10 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G11 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   4.9 m (ved 250°, 150 m)
G12 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   2.5 m (ved 238°, 45 m)
G13 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:   5.8 m (ved 250°, 100 m)
G14 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G15 P7                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G16 M_61.455_10.840    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G17 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 248°, 145 m)
G18 M_61.455_10.840    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G19 M_61.460_10.850    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G20 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 20 m)
G21 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:  25.1 m (ved 250°, 10 m)
G22 A1                 laveste nødvendige høyde i lyssektoren kl. 07.50:  20.9 m (ved 250°, 15 m)
G23 A2                 laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
G24 M_61.460_10.850    laveste nødvendige høyde i lyssektoren kl. 07.50:   0.0 m (ved 238°, 5 m)
