id;omrade;breddegrad;lengdegrad
C06;A2;61.46235821;10.97495372
C07;A2;61.46254284;10.97511774
C23;M_61.455_10.840;61.45712966;10.83614627
G01;A2;61.46155565;10.96940245
G02;A2;61.46248690;10.97504982
G03;A1;61.45156098;10.97210562
G04;A2;61.46323636;10.98276887
G05;A1;61.44499574;10.97473768
G06;A2;61.46606120;10.97432492
G07;M_61.455_10.840;61.45498664;10.84898097
G08;A2;61.46249872;10.98275126
G09;A1;61.45294069;10.97853232
G10;A2;61.46589838;10.97915615
G11;A2;61.46199060;10.98259133
G12;A2;61.46171153;10.98349153
G13;A1;61.44856281;10.98471837
G14;A2;61.46582856;10.97375371
G15;P7;61.37446824;10.97722068
G16;M_61.455_10.840;61.45711061;10.83611124
G17;A2;61.46334804;10.98046231
G18;M_61.455_10.840;61.45446203;10.84063536
G19;M_61.460_10.850;61.45677174;10.85557731
G20;A2;61.46492173;10.98078535
G21;A1;61.45073889;10.98169609
G22;A1;61.45257416;10.97991937
G23;A2;61.46182184;10.97201704
G24;M_61.460_10.850;61.46226205;10.84988654
