område,lat,lon,konflikter,forenlige,26.09 16.35,26.09 16.45,26.09 16.55
S03-kjerne 1,60.55432,12.14683,0,3,-19,-8,-2
S03-kjerne 4,60.57199,12.14126,0,3,-16,-3,-4
S03,60.53938,12.18334,0,3,-23,-15,-7
S03-kjerne 7,60.58579,12.13127,0,3,-19,-5,-5
S03-kjerne 13,60.56463,12.17549,0,3,-16,-4,-3
Finnskog 60.436/12.224,60.4375,12.2233,0,3,-5,-3,-3
#324,60.4644,12.1207,0,3,-21,-8,-1
Solør nord 60.675/12.10,60.675,12.1,0,3,-4,-3,-4
L07,60.82353,11.5375,0,3,-2,-1,-2
A01,61.23076,11.72394,0,3,-16,-12,-3
kand1 Mykleby,61.3995,11.0316,0,3,-18,-18,-20
Messelt,61.4571,10.8362,0,3,-16,-14,-7
Evenstad,61.42,11.08,0,3,-21,-17,-14
Kongsvinger,60.19,12,0,3,-2,-12,-7
Løten-nord,60.972,11.034,0,3,-28,-18,-10
Rena-vest,61.16,11.308,0,3,-3,-1,-2
Trysil,61.31,12.26,0,2,3,22,0
