område,lat,lon,score005,score01,score02
solor,60.53938,12.18334,1.742,1.561,1.545
solor,60.69195,12.12567,1.47,1.545,1.182
solor,60.46025,12.15491,1.485,1.47,1.197
solor,60.45713,12.15591,1.485,1.47,1.197
solor,60.46667,12.09885,1.394,1.394,1.121
solor,60.50415,12.29135,1.212,1.379,1.455
solor,60.49005,12.2175,1.212,1.379,1.455
solor,60.5524,12.24315,1.227,1.303,1.364
solor,60.47394,12.22924,1.561,1.288,1.455
solor,60.77395,12.0867,1.197,1.273,1.273
solor,60.54822,12.2499,1.061,1.212,1.197
solor,60.47456,12.09322,1.394,1.212,1.121
solor,60.46866,12.28663,1.394,1.212,1.364
solor,60.49612,12.16435,1.303,1.212,1.288
solor,60.80277,12.12363,0.924,1.091,1.091
solor,60.81774,12.12597,0.924,1.091,1.091
solor,60.69779,11.77835,1.182,1.091,1
solor,60.69757,11.77985,1.182,1.091,1
solor,60.70008,11.78694,1.182,1.091,1
solor,60.72728,11.92034,1.015,1,1
solor,60.94645,11.84006,1,1,1
solor,60.80031,11.99862,1.091,1,1
solor,60.8083,11.7369,1.091,1,1
solor,60.96777,12.18526,1,1,1
osen,61.30499,12,1,1,1
osen,61.18428,11.91789,1.091,1,1
solor,60.79972,11.9406,0.833,1,1
solor,60.8208,11.8083,0.924,1,1
solor,60.84731,11.84599,1,1,1
solor,60.61433,12.32469,0.818,0.894,0.955
solor,60.63783,12.28269,0.985,0.894,0.682
solor,60.55727,11.77521,0.697,0.864,1.03
osen,61.23076,11.72394,0.667,0.833,1
elverum,60.82353,11.5375,0.833,0.833,1
elverum,60.82483,11.53901,0.833,0.833,1
elverum,60.84087,11.46802,0.833,0.833,0.833
elverum,60.81542,11.45721,0.924,0.833,0.833
elverum,60.79961,11.5436,0.5,0.833,0.833
solor,60.54197,12.32301,0.455,0.697,0.848
