område,lat,lon,beste_retning,avstand_m,stigning_m,gange_min,veitype,vann_krysset
s03kjerne,60.54557,12.13264,154,518,39,11.9,unclassified,nei
s03kjerne,60.55529,12.13361,128,409,17,8.1,unclassified,nei
s03kjerne,60.55894,12.16139,,,,,,
s03kjerne,60.55942,12.15003,,,,,,
s03kjerne,60.54001,12.18384,130,476,10,9.1,service,nei
s03kjerne,60.55432,12.14683,128,347,25,7.6,service,nei
s03kjerne,60.55452,12.14791,128,305,24,7.0,service,nei
s03kjerne,60.58847,12.17268,,,,,,
s03kjerne,60.56343,12.1442,,,,,,
s03kjerne,60.55904,12.14897,,,,,,
s03kjerne,60.54827,12.14116,,,,,,
s03kjerne,60.54142,12.18226,124,566,18,11.7,service,nei
s03kjerne,60.54603,12.14574,129,391,18,8.3,service,nei
s03kjerne,60.57666,12.13281,,,,,,
s03kjerne,60.57122,12.15593,,,,,,
s03kjerne,60.57239,12.15181,,,,,,
s03kjerne,60.54065,12.1546,,,,,,
s03kjerne,60.55474,12.13293,128,440,20,8.8,unclassified,nei
s03kjerne,60.55635,12.16636,,,,,,
s03kjerne,60.56023,12.13755,,,,,,
s03kjerne,60.58163,12.18934,,,,,,
s03kjerne,60.58852,12.17486,,,,,,
s03kjerne,60.55935,12.18069,,,,,,
s03kjerne,60.54136,12.15417,,,,,,
s03kjerne,60.57412,12.18233,153,456,10,8.5,service,nei
s03kjerne,60.57743,12.17729,125,542,38,11.9,service,nei
s03kjerne,60.54788,12.13974,,,,,,
s03kjerne,60.56198,12.16075,,,,,,
s03kjerne,60.56463,12.17549,135,272,13,5.8,service,nei
s03kjerne,60.55605,12.18609,,,,,,
s03kjerne,60.58133,12.16636,,,,,,
s03kjerne,60.55887,12.1665,,,,,,
s03kjerne,60.54944,12.16258,,,,,,
s03kjerne,60.57444,12.18047,129,382,22,8.1,service,nei
s03kjerne,60.55346,12.18267,,,,,,
s03kjerne,60.57199,12.14126,128,445,27,9.5,secondary,nei
s03kjerne,60.54452,12.1342,130,438,50,11.6,unclassified,nei
s03kjerne,60.58207,12.13379,,,,,,
s03kjerne,60.54495,12.18779,,,,,,
s03kjerne,60.58579,12.13127,129,395,42,9.9,unclassified,nei
s03kjerne,60.54654,12.16101,,,,,,
s03kjerne,60.57916,12.16582,,,,,,
s03kjerne,60.57942,12.16981,,,,,,
s03kjerne,60.57757,12.14186,,,,,,
s03kjerne,60.54646,12.14059,,,,,,
s03kjerne,60.58662,12.13667,129,355,27,8.5,service,nei
s03kjerne,60.57142,12.1822,129,436,22,9.3,secondary,nei
s03kjerne,60.54346,12.14341,,,,,,
s03kjerne,60.56133,12.17213,,,,,,
s03kjerne,60.56792,12.13577,130,297,10,5.8,secondary,nei
