tid,krone_R,krone_G,krone_B,krone_R/B,himmel_Y,bakke_R,bakke_G,bakke_B,krone/himmel
07:20,24.1,23.6,23.7,1.02,81.5,20.6,20.6,20.5,0.29
07:30,28.0,27.2,27.4,1.02,83.2,20.7,20.8,20.6,0.33
07:40,26.7,26.1,26.4,1.01,83.3,21.6,21.7,21.5,0.32
07:44,27.7,26.5,27.8,1.00,83.2,21.4,21.4,21.2,0.32
07:47,32.2,31.3,33.0,0.98,81.7,20.5,20.5,20.4,0.39
07:49,40.6,41.9,44.0,0.92,79.0,18.9,18.9,18.8,0.53
07:50,50.4,52.0,53.6,0.94,78.2,18.7,18.7,18.5,0.66
07:51,48.2,48.8,50.4,0.96,77.4,18.1,18.1,18.0,0.63
07:52,46.6,49.8,50.7,0.92,79.1,18.4,18.4,18.3,0.62
07:53,49.5,53.9,53.5,0.93,77.1,18.0,18.0,17.9,0.68
07:55,44.7,45.5,46.5,0.96,77.6,18.2,18.2,18.1,0.58
08:00,45.4,48.9,49.2,0.92,78.7,18.6,18.6,18.5,0.61
08:30,21.6,21.5,22.3,0.97,74.5,20.6,20.4,20.4,0.29
